Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2015,"90004
(34.07646, -118.309453)",Children (0-17),117,91.7,6037,LOS ANGELES
2015,"90011
(34.007055, -118.258872)",Children (0-17),381,102.8,6037,LOS ANGELES
2015,"90002
(33.949079, -118.247877)",Children (0-17),227,123.8,6037,LOS ANGELES
2013,"90004
(34.07646, -118.309453)",Children (0-17),169,129.4,6037,LOS ANGELES
2014,"90012
(34.064406, -118.239532)",Children (0-17),22,69.1,6037,LOS ANGELES
2013,"90015
(34.038913, -118.266298)",Children (0-17),49,121,6037,LOS ANGELES
2013,"90003
(33.963074, -118.274809)",Children (0-17),307,130.1,6037,LOS ANGELES
2015,"90005
(34.059746, -118.308884)",Children (0-17),52,40.4,6037,LOS ANGELES
2014,"90016
(34.029223, -118.35294)",Children (0-17),168,144.7,6037,LOS ANGELES
2014,"90004
(34.07646, -118.309453)",Children (0-17),135,101.9,6037,LOS ANGELES
2014,"90003
(33.963074, -118.274809)",Children (0-17),327,138.5,6037,LOS ANGELES
2015,"90001
(33.973252, -118.249154)",Children (0-17),212,105.8,6037,LOS ANGELES
2014,"90015
(34.038913, -118.266298)",Children (0-17),56,137.2,6037,LOS ANGELES
2014,"90001
(33.973252, -118.249154)",Children (0-17),203,103.1,6037,LOS ANGELES
2014,"90006
(34.048637, -118.293869)",Children (0-17),147,101.3,6037,LOS ANGELES
2015,"90016
(34.029223, -118.35294)",Children (0-17),178,156.9,6037,LOS ANGELES
2013,"90024
(34.063591, -118.437175)",Children (0-17),15,44.9,6037,LOS ANGELES
2015,"90031
(34.079698, -118.213962)",Children (0-17),84,84.9,6037,LOS ANGELES
2013,"90019
(34.048752, -118.340015)",Children (0-17),106,78.4,6037,LOS ANGELES
2014,"90028
(34.09981, -118.327083)",Children (0-17),37,126.5,6037,LOS ANGELES
2014,"90029
(34.089903, -118.294656)",Children (0-17),62,82,6037,LOS ANGELES
2015,"90022
(34.024487, -118.155755)",Children (0-17),195,97.3,6037,LOS ANGELES
2013,"90023
(34.023995, -118.202424)",Children (0-17),157,104.1,6037,LOS ANGELES
2015,"90020
(34.066269, -118.309481)",Children (0-17),42,123,6037,LOS ANGELES
2014,"90017
(34.052895, -118.2642)",Children (0-17),66,111,6037,LOS ANGELES
2013,"90028
(34.09981, -118.327083)",Children (0-17),36,123.4,6037,LOS ANGELES
2015,"90029
(34.089903, -118.294656)",Children (0-17),89,112.6,6037,LOS ANGELES
2014,"90026
(34.078894, -118.264087)",Children (0-17),145,106.8,6037,LOS ANGELES
2014,"90043
(33.988604, -118.335291)",Children (0-17),180,178.9,6037,LOS ANGELES
2013,"90043
(33.988604, -118.335291)",Children (0-17),159,156.4,6037,LOS ANGELES
2014,"90033
(34.050157, -118.211432)",Children (0-17),184,127.9,6037,LOS ANGELES
2013,"90037
(34.002504, -118.286782)",Children (0-17),225,119.6,6037,LOS ANGELES
2014,"90032
(34.080773, -118.177882)",Children (0-17),110,95.5,6037,LOS ANGELES
2015,"90038
(34.088618, -118.32649)",Children (0-17),45,84.4,6037,LOS ANGELES
2015,"90042
(34.115224, -118.191967)",Children (0-17),108,71.6,6037,LOS ANGELES
2015,"90041
(34.137321, -118.207164)",Children (0-17),21,42.5,6037,LOS ANGELES
2013,"90040
(33.995379, -118.150703)",Children (0-17),34,123.6,6037,LOS ANGELES
2015,"90040
(33.995379, -118.150703)",Children (0-17),36,97.5,6037,LOS ANGELES
2015,"90036
(34.069624, -118.349681)",Children (0-17),24,34.2,6037,LOS ANGELES
2014,"90039
(34.109617, -118.260085)",Children (0-17),29,57.6,6037,LOS ANGELES
2014,"90044
(33.952658, -118.291781)",Children (0-17),474,165.5,6037,LOS ANGELES
2014,"90037
(34.002504, -118.286782)",Children (0-17),248,129.9,6037,LOS ANGELES
2013,"90042
(34.115224, -118.191967)",Children (0-17),123,81.4,6037,LOS ANGELES
2013,"90062
(34.003587, -118.308985)",Children (0-17),130,149.9,6037,LOS ANGELES
2014,"90062
(34.003587, -118.308985)",Children (0-17),145,171.7,6037,LOS ANGELES
2014,"90047
(33.955791, -118.308916)",Children (0-17),216,182,6037,LOS ANGELES
2013,"90045
(33.957455, -118.398979)",Children (0-17),45,64.3,6037,LOS ANGELES
2014,"90065
(34.109642, -118.226785)",Children (0-17),93,85.9,6037,LOS ANGELES
2014,"90046
(34.105325, -118.364441)",Children (0-17),17,38.8,6037,LOS ANGELES
2015,"90059
(33.926931, -118.248178)",Children (0-17),194,129.8,6037,LOS ANGELES
2014,"90066
(34.002048, -118.431218)",Children (0-17),46,44.2,6037,LOS ANGELES
2013,"90059
(33.926931, -118.248178)",Children (0-17),226,151.9,6037,LOS ANGELES
2013,"90201
(33.971609, -118.171234)",Children (0-17),237,72.4,6037,LOS ANGELES
2013,"90044
(33.952658, -118.291781)",Children (0-17),458,158.6,6037,LOS ANGELES
2014,"90063
(34.044874, -118.185304)",Children (0-17),145,83.9,6037,LOS ANGELES
2015,"90065
(34.109642, -118.226785)",Children (0-17),83,76.3,6037,LOS ANGELES
2015,"90064
(34.035932, -118.426899)",Children (0-17),14,27.1,6037,LOS ANGELES
2013,"90057
(34.062568, -118.277209)",Children (0-17),101,92.8,6037,LOS ANGELES
2015,"90045
(33.957455, -118.398979)",Children (0-17),38,51.8,6037,LOS ANGELES
2013,"90064
(34.035932, -118.426899)",Children (0-17),14,27.7,6037,LOS ANGELES
2013,"90242
(33.920376, -118.141201)",Children (0-17),85,72.1,6037,LOS ANGELES
2013,"90248
(33.87676, -118.286071)",Children (0-17),18,94.8,6037,LOS ANGELES
2013,"90240
(33.956433, -118.117736)",Children (0-17),25,41.9,6037,LOS ANGELES
2013,"90221
(33.890737, -118.205412)",Children (0-17),193,106.5,6037,LOS ANGELES
2014,"90242
(33.920376, -118.141201)",Children (0-17),94,80.9,6037,LOS ANGELES
2015,"90242
(33.920376, -118.141201)",Children (0-17),93,77.5,6037,LOS ANGELES
2015,"90240
(33.956433, -118.117736)",Children (0-17),37,54.3,6037,LOS ANGELES
2013,"90241
(33.940852, -118.128056)",Children (0-17),85,79.2,6037,LOS ANGELES
2014,"90232
(34.018705, -118.392072)",Children (0-17),13,45,6037,LOS ANGELES
2015,"90241
(33.940852, -118.128056)",Children (0-17),92,91.7,6037,LOS ANGELES
2013,"90249
(33.900582, -118.318325)",Children (0-17),69,112.3,6037,LOS ANGELES
2013,"90245
(33.918775, -118.403388)",Children (0-17),14,46.4,6037,LOS ANGELES
